Order ID,Order Date,Ship Date,Customer ID,Segment,Region,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
rV-7193-46996,2024-08-29,2024-09-03,hl-81459,Home Office,East,Office Supplies,Pens,Ballpoint Pen,875.04,7,0.3,-65.01
Kh-7902-55115,2025-04-10,2025-04-13,WO-15561,Consumer,South,Furniture,Chairs,Ergonomic Chair X1,140.25,5,0.3,-9.31
Fd-4926-34339,2024-12-14,2024-12-19,Ei-82115,Home Office,Central,Furniture,Bookcases,Wooden Bookcase,653.25,7,0.0,127.48
sB-5200-14460,2024-08-17,2024-08-21,Js-27044,Consumer,West,Technology,Laptops,HP Pavilion x360,700.32,5,0.0,141.39
Pv-1608-61252,2024-03-08,2024-03-09,fv-71114,Consumer,East,Technology,Laptops,Dell Inspiron 15,641.36,4,0.3,-80.57
fw-9961-74673,2024-12-14,2024-12-19,lB-58086,Consumer,East,Technology,Phones,Samsung Galaxy A53,451.39,10,0.1,47.53
Re-3483-47467,2025-01-12,2025-01-16,vd-40234,Corporate,East,Furniture,Chairs,Executive Chair Z3,730.04,1,0.0,122.66
Jv-2383-81397,2023-06-26,2023-06-30,pb-76136,Corporate,East,Furniture,Bookcases,Wooden Bookcase,849.82,4,0.0,183.63
WA-0889-33257,2025-06-14,2025-06-18,wQ-57294,Corporate,East,Office Supplies,Pens,Gel Ink Pen,147.35,9,0.2,-5.26
zs-0114-29532,2025-06-05,2025-06-06,Sw-61141,Corporate,East,Furniture,Chairs,Ergonomic Chair X1,338.22,7,0.0,59.98
ru-6296-67183,2024-12-21,2024-12-26,SX-09327,Consumer,Central,Furniture,Tables,Meeting Table A2,910.35,10,0.0,212.2
CG-3818-96840,2025-05-09,2025-05-12,UG-70311,Corporate,East,Technology,Laptops,HP Pavilion x360,737.27,2,0.3,-93.26
Hh-6228-84729,2024-05-20,2024-05-23,NK-62966,Home Office,Central,Office Supplies,Paper,A4 Copier Paper,344.52,4,0.0,68.7
yi-7109-00369,2024-09-25,2024-09-28,MV-41500,Corporate,South,Technology,Phones,Apple iPhone SE 2022,900.28,7,0.3,-122.29
vX-3217-89582,2025-05-16,2025-05-18,Ug-69743,Corporate,East,Technology,Phones,Samsung Galaxy A53,685.42,8,0.2,-9.03
Ir-8711-18493,2024-11-10,2024-11-14,OG-16486,Consumer,Central,Office Supplies,Pens,Gel Ink Pen,263.04,4,0.1,20.3
Di-4608-09898,2023-09-24,2023-09-27,Ma-09927,Home Office,Central,Office Supplies,Pens,Gel Ink Pen,74.14,4,0.0,11.56
Wb-2252-54334,2025-05-18,2025-05-23,SF-39704,Corporate,South,Office Supplies,Pens,Gel Ink Pen,335.53,10,0.0,74.36
rC-9767-81454,2024-03-02,2024-03-06,Hs-40570,Consumer,Central,Furniture,Tables,Meeting Table A2,479.91,4,0.1,40.72
yA-7387-34697,2024-04-25,2024-04-28,Zi-88446,Corporate,South,Office Supplies,Paper,Colored Printer Paper,437.66,2,0.1,42.79
tn-9379-26833,2024-08-09,2024-08-12,MM-73616,Corporate,South,Technology,Phones,Apple iPhone SE 2022,491.59,3,0.1,60.06
fu-7247-73260,2025-01-19,2025-01-21,Kn-67283,Home Office,East,Technology,Accessories,Wireless Keyboard K120,274.61,4,0.3,-23.49
Kv-8942-66091,2024-05-16,2024-05-20,BT-15933,Corporate,South,Office Supplies,Paper,Colored Printer Paper,65.75,8,0.3,-7.78
MB-4775-23120,2024-02-08,2024-02-10,jn-81108,Consumer,East,Furniture,Bookcases,Glass Bookcase,243.81,4,0.2,-5.39
zI-3683-39855,2024-08-06,2024-08-08,vg-16365,Corporate,South,Office Supplies,Binders,Heavy-Duty Binder,988.99,10,0.3,-101.18
hJ-7226-75528,2024-07-14,2024-07-15,OC-90305,Corporate,South,Office Supplies,Pens,Gel Ink Pen,185.18,8,0.3,-26.54
bX-2960-48424,2024-10-11,2024-10-15,FJ-27330,Home Office,West,Furniture,Tables,Meeting Table A2,766.33,7,0.2,-31.83
Dl-4666-26131,2025-03-06,2025-03-11,fD-87531,Corporate,West,Technology,Laptops,Dell Inspiron 15,622.12,4,0.2,-27.45
Rz-7194-71459,2025-01-12,2025-01-14,lt-20865,Home Office,East,Technology,Accessories,Wireless Keyboard K120,251.14,2,0.1,36.03
Yn-8385-67489,2024-06-22,2024-06-27,NS-66838,Consumer,West,Technology,Accessories,Logitech Mouse M325,280.36,5,0.0,45.61
ZS-9041-66395,2023-08-08,2023-08-12,wc-74113,Corporate,Central,Furniture,Chairs,Executive Chair Z3,50.64,2,0.3,-3.48
aG-9827-66602,2023-08-20,2023-08-21,lE-08568,Consumer,West,Furniture,Tables,Meeting Table A2,115.83,5,0.2,2.16
zi-3589-18515,2023-11-03,2023-11-07,Fi-31495,Corporate,East,Furniture,Bookcases,Glass Bookcase,246.85,3,0.2,1.33
kc-8466-91659,2024-09-17,2024-09-21,Gb-85347,Consumer,Central,Technology,Phones,Apple iPhone SE 2022,260.86,3,0.0,41.5
kB-2768-43521,2024-05-24,2024-05-28,Or-62680,Home Office,West,Furniture,Tables,Adjustable Table B1,126.24,7,0.1,12.79
Su-2164-64672,2024-10-28,2024-11-01,bw-47741,Corporate,East,Office Supplies,Paper,Colored Printer Paper,451.18,3,0.2,-17.02
GH-9178-71847,2023-10-24,2023-10-25,uQ-34076,Corporate,Central,Technology,Accessories,Wireless Keyboard K120,157.89,3,0.1,21.47
mo-6153-40974,2023-10-01,2023-10-05,si-13575,Home Office,East,Technology,Laptops,Dell Inspiron 15,211.01,1,0.1,22.98
vi-1369-50722,2023-10-27,2023-10-31,nI-36429,Corporate,Central,Technology,Laptops,Dell Inspiron 15,997.32,3,0.0,193.34
uu-8665-19378,2023-07-20,2023-07-21,hm-58461,Consumer,West,Furniture,Bookcases,Glass Bookcase,618.39,2,0.3,-61.38
Cb-0662-80073,2023-11-11,2023-11-13,nY-74424,Home Office,South,Technology,Phones,Samsung Galaxy A53,292.45,1,0.0,69.72
qT-8051-23895,2025-06-04,2025-06-06,mj-58190,Corporate,West,Furniture,Bookcases,Wooden Bookcase,580.35,3,0.3,-76.08
JE-9148-33533,2025-05-29,2025-05-31,CX-24573,Corporate,East,Technology,Phones,Apple iPhone SE 2022,483.08,9,0.3,-57.96
On-6660-67670,2023-12-28,2023-12-29,qG-72427,Corporate,West,Furniture,Bookcases,Wooden Bookcase,623.94,9,0.2,-30.66
zp-8273-69197,2024-07-01,2024-07-05,iV-27773,Consumer,South,Office Supplies,Pens,Gel Ink Pen,391.86,7,0.3,-41.33
Nj-8691-75056,2024-06-05,2024-06-08,YG-75310,Home Office,Central,Office Supplies,Paper,A4 Copier Paper,480.77,5,0.3,-70.72
jL-9664-06443,2023-09-24,2023-09-27,KH-65218,Corporate,East,Office Supplies,Paper,A4 Copier Paper,618.84,7,0.1,85.74
EE-6970-76033,2025-04-30,2025-05-01,YJ-69867,Corporate,West,Technology,Laptops,Dell Inspiron 15,465.39,10,0.3,-62.32
XX-0023-67766,2024-02-11,2024-02-15,hg-54010,Consumer,South,Technology,Phones,Samsung Galaxy A53,258.78,1,0.1,22.0
vU-5276-21575,2025-03-11,2025-03-15,oS-85843,Consumer,West,Furniture,Tables,Meeting Table A2,339.38,3,0.2,8.73
xR-4257-86932,2024-03-08,2024-03-10,XY-76011,Corporate,South,Office Supplies,Pens,Ballpoint Pen,676.1,6,0.1,92.86
ED-7793-20154,2023-12-06,2023-12-09,HW-98073,Corporate,East,Technology,Laptops,HP Pavilion x360,818.06,1,0.1,78.43
NH-6007-53557,2024-03-16,2024-03-17,xv-22269,Corporate,Central,Furniture,Tables,Adjustable Table B1,890.11,4,0.0,167.86
lp-4032-98519,2024-11-16,2024-11-17,AT-43206,Consumer,East,Office Supplies,Pens,Gel Ink Pen,29.28,1,0.1,1.92
cv-0312-68026,2024-01-24,2024-01-28,CO-76190,Consumer,East,Technology,Laptops,HP Pavilion x360,980.13,9,0.3,-66.19
op-3736-95779,2024-05-05,2024-05-07,RO-58456,Home Office,East,Technology,Accessories,Wireless Keyboard K120,530.28,10,0.3,-30.46
Au-1568-50675,2024-08-15,2024-08-17,cD-32168,Home Office,West,Office Supplies,Pens,Ballpoint Pen,292.66,7,0.0,44.6
lS-9466-76424,2024-03-26,2024-03-30,UW-28618,Home Office,West,Technology,Accessories,Logitech Mouse M325,355.02,1,0.1,25.75
Cj-9344-13693,2025-02-16,2025-02-17,ZD-21372,Home Office,South,Office Supplies,Binders,Heavy-Duty Binder,903.18,9,0.3,-79.27
DS-6778-03917,2025-03-03,2025-03-04,WT-93031,Corporate,West,Furniture,Bookcases,Wooden Bookcase,828.04,4,0.1,41.63
TD-3737-29156,2023-10-21,2023-10-25,hL-02959,Corporate,East,Office Supplies,Binders,3-Ring Binder,753.15,3,0.0,168.17
wp-4196-36252,2023-11-11,2023-11-15,UI-65938,Corporate,Central,Furniture,Tables,Adjustable Table B1,377.54,5,0.2,-8.15
nE-3275-53629,2024-12-31,2025-01-01,to-07347,Consumer,West,Office Supplies,Binders,Heavy-Duty Binder,151.74,4,0.3,-19.89
Nm-9706-14821,2024-07-12,2024-07-16,oZ-49236,Corporate,East,Office Supplies,Paper,A4 Copier Paper,203.21,7,0.2,-0.94
dy-6966-99906,2025-04-15,2025-04-19,gu-79401,Corporate,South,Furniture,Bookcases,Wooden Bookcase,812.81,5,0.1,71.06
bM-9049-72705,2023-06-24,2023-06-29,RE-09341,Corporate,West,Furniture,Chairs,Ergonomic Chair X1,974.1,3,0.3,-68.15
cc-6894-15422,2023-09-07,2023-09-09,va-96274,Consumer,South,Furniture,Bookcases,Glass Bookcase,217.06,7,0.2,3.91
ua-2145-36224,2024-04-07,2024-04-11,WX-96275,Consumer,Central,Technology,Accessories,Wireless Keyboard K120,944.8,2,0.3,-50.21
tU-1054-16800,2023-09-12,2023-09-17,NC-51625,Home Office,Central,Office Supplies,Binders,Heavy-Duty Binder,905.78,6,0.2,37.3
on-7441-40044,2024-03-07,2024-03-12,Rp-15230,Corporate,South,Furniture,Bookcases,Glass Bookcase,953.97,6,0.3,-66.9
Ia-9551-36327,2024-08-03,2024-08-04,Gs-56624,Corporate,Central,Office Supplies,Binders,3-Ring Binder,845.2,9,0.0,201.25
Zs-8659-07160,2025-02-19,2025-02-20,nT-44898,Home Office,South,Furniture,Chairs,Executive Chair Z3,107.2,8,0.0,24.06
Rt-1673-34207,2024-08-21,2024-08-23,Cz-56633,Consumer,East,Office Supplies,Pens,Ballpoint Pen,331.95,3,0.1,32.79
HZ-7075-21927,2025-01-26,2025-01-28,nk-16433,Consumer,Central,Office Supplies,Binders,3-Ring Binder,188.5,9,0.1,24.37
zQ-7976-13025,2024-03-15,2024-03-18,wX-24448,Home Office,South,Technology,Accessories,Logitech Mouse M325,899.18,3,0.0,184.76
sY-1186-92461,2024-07-03,2024-07-06,jB-85290,Home Office,Central,Office Supplies,Paper,A4 Copier Paper,486.29,6,0.0,119.62
hd-0736-20730,2024-02-20,2024-02-21,xq-21886,Consumer,Central,Furniture,Tables,Meeting Table A2,41.77,1,0.3,-4.73
hX-6133-71950,2024-09-03,2024-09-05,pF-97734,Home Office,West,Technology,Phones,Apple iPhone SE 2022,53.14,6,0.2,-2.44
uq-5595-02094,2024-02-23,2024-02-24,ic-08384,Consumer,South,Furniture,Chairs,Ergonomic Chair X1,374.63,2,0.1,54.22
Px-9357-67819,2024-06-17,2024-06-21,tt-06762,Home Office,Central,Furniture,Tables,Meeting Table A2,678.63,2,0.2,-20.91
yu-4891-80706,2024-09-29,2024-09-30,jg-23922,Corporate,South,Technology,Laptops,Dell Inspiron 15,99.14,10,0.1,6.75
xW-5645-90417,2023-10-12,2023-10-16,Od-16921,Corporate,West,Furniture,Chairs,Executive Chair Z3,260.52,2,0.3,-23.51
OG-9746-01966,2025-03-27,2025-03-31,PC-74970,Consumer,Central,Furniture,Bookcases,Glass Bookcase,370.84,3,0.0,64.03
VZ-8782-73527,2024-09-14,2024-09-16,aQ-22840,Home Office,West,Office Supplies,Binders,Heavy-Duty Binder,744.49,2,0.1,85.31
CY-8285-20731,2025-06-17,2025-06-20,cj-38844,Consumer,West,Office Supplies,Pens,Gel Ink Pen,964.31,10,0.2,30.61
sY-2234-93584,2025-01-05,2025-01-08,SQ-35545,Corporate,South,Furniture,Tables,Adjustable Table B1,947.93,3,0.2,44.97
Zn-8932-65227,2023-09-06,2023-09-11,CO-21821,Home Office,West,Furniture,Tables,Meeting Table A2,894.08,4,0.2,13.28
aG-8840-18699,2024-11-27,2024-11-29,Qp-65348,Home Office,West,Technology,Laptops,Dell Inspiron 15,990.09,7,0.1,145.6
Zb-5000-96511,2025-02-11,2025-02-15,cS-25356,Corporate,Central,Technology,Laptops,Dell Inspiron 15,885.71,9,0.0,140.86
vH-1068-18723,2024-12-05,2024-12-08,AK-62538,Corporate,Central,Furniture,Bookcases,Wooden Bookcase,548.47,10,0.3,-61.14
aX-3757-58165,2023-10-17,2023-10-20,Ao-39152,Home Office,East,Furniture,Tables,Adjustable Table B1,241.84,2,0.2,3.55
dD-3108-54427,2025-03-31,2025-04-04,mW-37460,Corporate,South,Technology,Laptops,Dell Inspiron 15,451.0,6,0.3,-35.7
td-5193-40953,2025-05-13,2025-05-17,HV-64831,Consumer,West,Office Supplies,Binders,Heavy-Duty Binder,103.88,2,0.3,-8.05
aw-3649-29681,2023-07-18,2023-07-22,db-40254,Consumer,South,Technology,Accessories,Logitech Mouse M325,199.29,6,0.3,-26.42
Na-3310-96862,2025-04-16,2025-04-21,uk-50139,Home Office,Central,Furniture,Tables,Adjustable Table B1,817.47,1,0.2,8.77
ak-6160-42269,2024-09-20,2024-09-25,kM-56731,Consumer,West,Office Supplies,Pens,Ballpoint Pen,289.03,2,0.0,48.94
Da-1348-84067,2023-07-09,2023-07-12,Hh-82956,Home Office,West,Technology,Accessories,Logitech Mouse M325,132.53,2,0.2,1.14
fb-0330-66864,2024-01-21,2024-01-24,ub-32816,Corporate,East,Furniture,Chairs,Executive Chair Z3,454.14,8,0.3,-51.16
Wn-2884-60083,2024-10-12,2024-10-14,jU-67643,Corporate,South,Furniture,Tables,Meeting Table A2,924.17,2,0.3,-62.94
ih-2511-39015,2023-06-28,2023-07-01,oM-71874,Consumer,South,Furniture,Chairs,Ergonomic Chair X1,298.33,10,0.3,-26.83
bv-2254-96588,2024-10-18,2024-10-21,Ik-19964,Home Office,South,Office Supplies,Binders,Heavy-Duty Binder,424.27,5,0.2,-15.3
rZ-3206-34179,2024-02-27,2024-02-29,Kg-27818,Corporate,West,Office Supplies,Pens,Gel Ink Pen,715.64,7,0.1,46.67
Mx-7570-24553,2023-11-15,2023-11-17,pY-81281,Consumer,South,Furniture,Tables,Meeting Table A2,159.14,9,0.0,26.09
pD-7300-67914,2024-11-07,2024-11-12,CD-57892,Corporate,South,Furniture,Tables,Meeting Table A2,198.0,9,0.0,46.94
bZ-5882-54565,2023-11-18,2023-11-22,Yt-93962,Corporate,East,Office Supplies,Pens,Ballpoint Pen,442.54,5,0.3,-60.28
ZR-9823-18503,2024-08-27,2024-08-31,Bc-32133,Home Office,South,Technology,Laptops,HP Pavilion x360,993.12,5,0.0,237.88
fz-9900-35393,2024-03-08,2024-03-11,Iz-09851,Consumer,Central,Technology,Phones,Samsung Galaxy A53,964.21,1,0.1,122.26
QX-3876-61043,2025-04-16,2025-04-19,Rl-43946,Consumer,West,Furniture,Tables,Meeting Table A2,866.59,2,0.0,159.93
lx-4687-22439,2024-11-26,2024-11-30,pe-22932,Consumer,East,Technology,Phones,Samsung Galaxy A53,666.78,3,0.2,13.81
pf-7276-15087,2024-03-05,2024-03-08,em-04586,Consumer,South,Office Supplies,Pens,Gel Ink Pen,372.97,9,0.3,-20.86
vN-2862-67465,2024-05-03,2024-05-08,Uj-49480,Corporate,West,Furniture,Chairs,Ergonomic Chair X1,357.21,7,0.3,-29.65
nv-8669-23915,2024-09-02,2024-09-03,zm-29524,Consumer,West,Office Supplies,Paper,Colored Printer Paper,643.39,4,0.0,114.53
ud-4588-75900,2024-05-18,2024-05-23,cn-46063,Home Office,Central,Technology,Laptops,Dell Inspiron 15,672.52,5,0.2,-0.68
iN-5921-50770,2024-09-11,2024-09-13,ql-27356,Consumer,East,Technology,Accessories,Logitech Mouse M325,77.88,3,0.1,8.62
HT-6235-03399,2024-07-22,2024-07-27,gq-50376,Corporate,West,Office Supplies,Pens,Gel Ink Pen,659.24,3,0.1,81.0
hU-2765-94555,2023-11-30,2023-12-04,Kc-39818,Consumer,Central,Furniture,Tables,Meeting Table A2,847.61,2,0.3,-86.85
ZO-5500-74989,2024-03-17,2024-03-19,rp-38037,Home Office,Central,Office Supplies,Binders,Heavy-Duty Binder,310.98,10,0.3,-20.36
aQ-7100-64610,2023-11-08,2023-11-11,CP-74807,Home Office,West,Furniture,Chairs,Executive Chair Z3,805.3,9,0.0,174.98
jD-1809-09477,2024-08-25,2024-08-26,Jq-70551,Home Office,Central,Technology,Accessories,Wireless Keyboard K120,860.36,10,0.2,37.8
yj-6743-63878,2025-04-12,2025-04-14,hh-21052,Consumer,East,Office Supplies,Binders,3-Ring Binder,421.21,6,0.0,77.52
nQ-6196-76338,2024-05-21,2024-05-26,yz-84262,Consumer,Central,Technology,Laptops,Dell Inspiron 15,295.13,4,0.2,-9.5
Sz-8381-43999,2023-07-07,2023-07-11,Mu-55838,Consumer,West,Office Supplies,Paper,A4 Copier Paper,799.84,5,0.3,-88.55
sv-9056-75627,2023-08-28,2023-09-02,qD-62512,Consumer,West,Technology,Accessories,Logitech Mouse M325,949.16,2,0.1,54.2
fR-5273-74026,2024-09-17,2024-09-18,Ox-99255,Consumer,Central,Technology,Phones,Samsung Galaxy A53,52.45,9,0.0,10.1
La-2238-74526,2024-06-12,2024-06-15,Ai-97653,Corporate,South,Technology,Accessories,Logitech Mouse M325,999.21,2,0.1,58.47
Pq-6001-75480,2024-03-30,2024-04-02,VX-91549,Home Office,West,Technology,Accessories,Wireless Keyboard K120,652.71,2,0.0,147.51
xw-1738-48636,2024-05-23,2024-05-24,cM-54540,Corporate,East,Technology,Laptops,Dell Inspiron 15,790.2,3,0.2,-17.95
xi-9514-82259,2024-04-11,2024-04-13,EU-92551,Corporate,Central,Technology,Accessories,Wireless Keyboard K120,532.34,9,0.1,31.27
VT-2335-11276,2023-11-22,2023-11-27,pw-69436,Home Office,East,Technology,Accessories,Logitech Mouse M325,421.3,1,0.1,35.25
Vo-2954-70263,2023-07-24,2023-07-29,Mo-07736,Consumer,West,Office Supplies,Pens,Gel Ink Pen,944.27,5,0.0,207.86
UW-2682-43379,2023-11-06,2023-11-11,eV-69684,Home Office,Central,Office Supplies,Pens,Ballpoint Pen,59.56,3,0.1,6.37
ws-6477-11828,2023-12-10,2023-12-14,TS-63064,Home Office,South,Furniture,Tables,Meeting Table A2,908.87,10,0.2,41.32
TX-1697-56188,2024-04-27,2024-05-01,GB-92553,Consumer,West,Office Supplies,Pens,Gel Ink Pen,568.04,8,0.0,130.93
Yh-2204-32419,2024-08-15,2024-08-16,et-72240,Home Office,South,Furniture,Bookcases,Glass Bookcase,620.24,3,0.3,-91.07
wV-8737-29165,2024-07-09,2024-07-13,Bp-73454,Home Office,East,Furniture,Tables,Meeting Table A2,663.57,10,0.2,-9.07
ld-1140-48411,2024-10-05,2024-10-06,Sh-99983,Consumer,Central,Technology,Accessories,Wireless Keyboard K120,403.72,9,0.0,61.96
mC-7394-13517,2024-07-26,2024-07-31,wq-32317,Home Office,Central,Office Supplies,Binders,3-Ring Binder,774.51,10,0.3,-56.58
RU-9076-29028,2024-04-28,2024-05-02,se-70853,Corporate,East,Office Supplies,Binders,Heavy-Duty Binder,376.52,9,0.3,-39.38
vs-8000-64795,2025-05-31,2025-06-02,GH-84367,Consumer,Central,Office Supplies,Paper,A4 Copier Paper,201.03,4,0.2,1.73
Ke-6245-17669,2025-02-18,2025-02-20,hb-86714,Home Office,East,Technology,Phones,Samsung Galaxy A53,486.6,8,0.3,-31.8
JH-8180-60224,2024-03-25,2024-03-28,WU-80611,Consumer,South,Technology,Accessories,Wireless Keyboard K120,377.22,6,0.1,25.66
Gt-0501-39946,2023-09-24,2023-09-29,oa-05967,Corporate,East,Furniture,Chairs,Ergonomic Chair X1,488.96,10,0.0,92.64
lE-1837-08515,2025-02-04,2025-02-07,Lg-62565,Consumer,Central,Technology,Phones,Apple iPhone SE 2022,872.03,4,0.1,55.77
Kj-0666-75400,2024-03-13,2024-03-17,qz-97045,Corporate,West,Furniture,Chairs,Executive Chair Z3,746.52,4,0.0,178.66
We-1370-42864,2025-01-12,2025-01-14,tC-71029,Consumer,Central,Furniture,Bookcases,Glass Bookcase,787.15,9,0.0,175.89
